endpoint,model,subset_key,n_modalities,mean_weighted_f1,std_weighted_f1,mean_auc,std_auc,mean_acc,std_acc,mean_threshold,n_folds
rec,xgb,clinical+spatial,2,0.9830124103185158,0.0185101223951854,0.9928190174733953,0.010973362953495233,0.9832472748135398,0.018168620583772322,0.358,5
rec,xgb,clinical+temporal,2,0.9830124103185158,0.0185101223951854,0.9928190174733953,0.010973362953495233,0.9832472748135398,0.018168620583772322,0.334,5
rec,xgb,pathological+spatial,2,0.7762165770085782,0.030163626256840614,0.6685837971552256,0.054394613963569864,0.7971026965002869,0.02693171857224937,0.33599999999999997,5
rec,xgb,semantic+pathological,2,0.747554717224903,0.037989095487987526,0.630874689400035,0.06858301593515628,0.7851692484222605,0.02104463694751331,0.4720000000000001,5
rec,xgb,temporal+pathological,2,0.737858038306543,0.02899683305362988,0.6506505697749938,0.05602776340277687,0.7516637980493402,0.04183753229379561,0.41800000000000004,5
rec,xgb,temporal+spatial,2,0.7086745532521354,0.03379679624720579,0.5608372511598316,0.04422594781027184,0.7398450946643718,0.023024429407510462,0.242,5
rec,xgb,semantic+spatial,2,0.6904150905090571,0.026147338114496703,0.5128188844778706,0.04150987807387611,0.7470166379804934,0.017607387609324947,0.35,5
rec,xgb,semantic+temporal,2,0.6725915931529076,0.006887986021220251,0.4820920417694611,0.06815967898920247,0.7184738955823293,0.030064833986798538,0.36,5
rec,xgb,clinical,1,0.9830124103185158,0.0185101223951854,0.9928190174733953,0.010973362953495233,0.9832472748135398,0.018168620583772322,0.33,5
rec,xgb,pathological,1,0.7229758190206548,0.03794561639740998,0.6306990244778262,0.0763125612161358,0.7517785427423982,0.02973356799607832,0.48200000000000004,5
rec,xgb,spatial,1,0.7004922346093954,0.016649978361359095,0.564150945487351,0.04283831703198974,0.7230636833046471,0.0379427373681439,0.22599999999999998,5
rec,xgb,temporal,1,0.6907974172491042,0.021549969237156998,0.5551789565614451,0.033279888757516744,0.7255593803786574,0.03742248463507192,0.484,5
rec,xgb,semantic,1,0.6685758429783074,0.0248782435023288,0.45687082588004246,0.05931902158461406,0.7470453241537578,0.014902529131935674,0.37,5
surv,et,clinical+semantic+temporal+pathological+spatial,5,0.77695096543039,0.03510175843807161,0.8048229548229549,0.045953864800971536,0.7770491803278687,0.03591623327902732,0.61,5
surv,et,clinical+semantic+temporal+pathological,4,0.7873839940804315,0.037526464307780914,0.8198144078144078,0.036037676150668656,0.7901639344262295,0.037382800822922564,0.5660000000000001,5
surv,et,clinical+temporal+pathological+spatial,4,0.7850339729971784,0.028783841847358858,0.8140586080586081,0.03486205414552625,0.7868852459016393,0.03066932284240939,0.584,5
surv,et,clinical+semantic+pathological+spatial,4,0.7790559345129675,0.015448793943814024,0.8091379731379732,0.022764674017041752,0.7836065573770492,0.013715738139902898,0.562,5
surv,et,clinical+semantic+temporal+spatial,4,0.7785019975265672,0.03099912858125988,0.8053431013431013,0.05969085080488343,0.7836065573770492,0.02693717495927049,0.554,5
