endpoint,model,subset_key,subset_modalities,n_modalities,fold,threshold,weighted_f1,auc,acc,n_train,n_val
rec,lgbm,clinical+semantic+spatial,clinical+semantic+spatial,3,4,0.98,0.9628921500660425,0.9754224270353302,0.963855421686747,336,83
rec,rf,clinical+semantic+spatial,clinical+semantic+spatial,3,4,0.55,0.9635592124595944,0.988479262672811,0.963855421686747,336,83
rec,voting,clinical+semantic+spatial,clinical+semantic+spatial,3,4,0.8,0.9628921500660425,0.9869431643625192,0.963855421686747,336,83
rec,xgb,clinical+semantic+spatial,clinical+semantic+spatial,3,4,0.79,0.9628921500660425,0.9754224270353302,0.963855421686747,336,83
rec,et,clinical+semantic+temporal,clinical+semantic+temporal,3,0,0.24,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+temporal,clinical+semantic+temporal,3,0,0.01,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+temporal,clinical+semantic+temporal,3,0,0.25,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+temporal,clinical+semantic+temporal,3,0,0.13,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+temporal,clinical+semantic+temporal,3,0,0.05,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+temporal,clinical+semantic+temporal,3,1,0.23,0.9523809523809524,0.9909297052154196,0.9523809523809524,335,84
rec,lgbm,clinical+semantic+temporal,clinical+semantic+temporal,3,1,0.01,0.9645581395348836,0.9879062736205592,0.9642857142857144,335,84
rec,rf,clinical+semantic+temporal,clinical+semantic+temporal,3,1,0.24,0.9523809523809524,0.9909297052154196,0.9523809523809524,335,84
rec,voting,clinical+semantic+temporal,clinical+semantic+temporal,3,1,0.44,0.9639907816401,0.9916855631141346,0.9642857142857144,335,84
rec,xgb,clinical+semantic+temporal,clinical+semantic+temporal,3,1,0.72,0.9757812499999998,0.9916855631141346,0.9761904761904762,335,84
rec,et,clinical+semantic+temporal,clinical+semantic+temporal,3,2,0.32,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+temporal,clinical+semantic+temporal,3,2,0.04,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+temporal,clinical+semantic+temporal,3,2,0.34,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+temporal,clinical+semantic+temporal,3,2,0.22,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+temporal,clinical+semantic+temporal,3,2,0.25,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+temporal,clinical+semantic+temporal,3,3,0.37,0.9761904761904762,0.995601173020528,0.9761904761904762,335,84
rec,lgbm,clinical+semantic+temporal,clinical+semantic+temporal,3,3,0.67,0.9880044296788482,0.998533724340176,0.988095238095238,335,84
rec,rf,clinical+semantic+temporal,clinical+semantic+temporal,3,3,0.65,0.9880044296788482,0.997800586510264,0.988095238095238,335,84
rec,voting,clinical+semantic+temporal,clinical+semantic+temporal,3,3,0.7000000000000001,0.9880044296788482,0.997067448680352,0.988095238095238,335,84
rec,xgb,clinical+semantic+temporal,clinical+semantic+temporal,3,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+semantic+temporal,clinical+semantic+temporal,3,4,0.49,0.9635592124595944,0.9877112135176652,0.963855421686747,336,83
rec,lgbm,clinical+semantic+temporal,clinical+semantic+temporal,3,4,0.95,0.9628921500660425,0.9669738863287248,0.963855421686747,336,83
rec,rf,clinical+semantic+temporal,clinical+semantic+temporal,3,4,0.56,0.9635592124595944,0.989247311827957,0.963855421686747,336,83
rec,voting,clinical+semantic+temporal,clinical+semantic+temporal,3,4,0.8,0.9628921500660425,0.9869431643625192,0.963855421686747,336,83
rec,xgb,clinical+semantic+temporal,clinical+semantic+temporal,3,4,0.81,0.9628921500660425,0.978494623655914,0.963855421686747,336,83
rec,et,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,0,0.23,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,0,0.01,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,0,0.22,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,0,0.12,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,0,0.06,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,1,0.63,0.9633273703041146,0.9916855631141346,0.9642857142857144,335,84
rec,lgbm,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,1,0.17,0.9639907816401,0.9879062736205592,0.9642857142857144,335,84
rec,rf,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,1,0.0999999999999999,0.9536707056307911,0.9916855631141346,0.9523809523809524,335,84
rec,voting,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,1,0.48,0.9639907816401,0.9931972789115646,0.9642857142857144,335,84
rec,xgb,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,1,0.52,0.9639907816401,0.9901738473167044,0.9642857142857144,335,84
rec,et,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,2,0.38,1.0,1.0,1.0,335,84
rec,lgbm,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,2,0.03,1.0,1.0,1.0,335,84
rec,rf,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,2,0.32,1.0,1.0,1.0,335,84
rec,voting,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,2,0.23,1.0,1.0,1.0,335,84
rec,xgb,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,2,0.26,1.0,1.0,1.0,335,84
rec,et,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,3,0.33,0.9761904761904762,0.9941348973607038,0.9761904761904762,335,84
rec,lgbm,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,3,0.62,0.9880044296788482,0.999266862170088,0.988095238095238,335,84
rec,rf,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,3,0.33,0.9761904761904762,0.99633431085044,0.9761904761904762,335,84
rec,voting,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,3,0.6900000000000001,0.9880044296788482,0.997067448680352,0.988095238095238,335,84
rec,xgb,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,3,0.03,0.9881791198864368,0.999266862170088,0.988095238095238,335,84
rec,et,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,4,0.53,0.9635592124595944,0.9907834101382488,0.963855421686747,336,83
rec,lgbm,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,4,0.97,0.9628921500660425,0.9846390168970812,0.963855421686747,336,83
rec,rf,clinical+semantic+temporal+pathological,clinical+semantic+temporal+pathological,4,4,0.53,0.9635592124595944,0.9907834101382488,0.963855421686747,336,83
